ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	filename[Block]	insprac1.ACC	insprac1.CRESP	insprac1.DurationError	insprac1.OnsetDelay	insprac1.OnsetTime	insprac1.OnsetToOnsetTime	insprac1.RESP	insprac1.RT	insprac1.RTTime	pracCat.ACC	pracCat.CRESP	pracCat.DurationError	pracCat.OnsetDelay	pracCat.OnsetTime	pracCat.OnsetToOnsetTime	pracCat.RESP	pracCat.RT	pracCat.RTTime	praclist	praclist.Cycle	praclist.Sample	pracRate.ACC	pracRate.CRESP	pracRate.DurationError	pracRate.OnsetDelay	pracRate.OnsetTime	pracRate.OnsetToOnsetTime	pracRate.RESP	pracRate.RT	pracRate.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	syllable[Block]	token[Block]	tone[Block]	waitprac2.ACC	waitprac2.CRESP	waitprac2.DurationError	waitprac2.OnsetDelay	waitprac2.OnsetTime	waitprac2.OnsetToOnsetTime	waitprac2.RESP	waitprac2.RT	waitprac2.RTTime	Trial	block1alist	block1alist.Cycle	block1alist.Sample	block1blist	block1blist.Cycle	block1blist.Sample	block2alist	block2alist.Cycle	block2alist.Sample	block2blist	block2blist.Cycle	block2blist.Sample	block3list	block3list.Cycle	block3list.Sample	block4list	block4list.Cycle	block4list.Sample	block5list	block5list.Cycle	block5list.Sample	block6list	block6list.Cycle	block6list.Sample	block7list	block7list.Cycle	block7list.Sample	expcat.ACC	expcat.CRESP	expcat.DurationError	expcat.OnsetDelay	expcat.OnsetTime	expcat.OnsetToOnsetTime	expcat.RESP	expcat.RT	expcat.RTTime	exprate.ACC	exprate.CRESP	exprate.DurationError	exprate.OnsetDelay	exprate.OnsetTime	exprate.OnsetToOnsetTime	exprate.RESP	exprate.RT	exprate.RTTime	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	filename[Trial]	insex1.ACC	insex1.CRESP	insex1.DurationError	insex1.OnsetDelay	insex1.OnsetTime	insex1.OnsetToOnsetTime	insex1.RESP	insex1.RT	insex1.RTTime	Procedure[Trial]	Running[Trial]	speaker[Trial]	syllable[Trial]	token[Trial]	tone[Trial]
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	1				Thai_F1_maa21-1	0		0	-1	20085	0	j	207	20292	1		105	135	18586	1499		0	0	1	1	1	0	4	0	10	20302	0	7	1796	22098	pracproc	praclist	F1	maa	1	21	1		0	19	22118	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	2				Thai_F1_maa45-3	0		0	0	24701	0	h	1715	26416	1		0	83	23201	1500		0	0	5	1	2	0	4	1	17	26433	0	6	1605	28038	pracproc	praclist	F1	maa	3	45	1		0	10	28050	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	3				Thai_F1_maa241-1	0		0	0	30649	0	j	164	30813	1		1	99	29149	1500		0	0	2	1	3	0	4	0	19	30832	0	7	1579	32411	pracproc	praclist	F1	maa	1	241	1		0	19	32432	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	4				Thai_F1_mii45-1	0		0	-1	35031	0	h	170	35201	1		0	100	33532	1499		0	0	10	1	4	0	4	1	13	35214	0	6	1683	36897	pracproc	praclist	F1	mii	1	45	1		0	16	36914	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	5				Thai_F1_maa315-2	0		0	0	39497	0	h	27	39524	1		0	83	37997	1500		0	0	3	1	5	0	4	0	6	39530	0	7	1617	41147	pracproc	praclist	F1	maa	2	315	1		0	15	41163	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	6				Thai_F1_maa33-4	0		0	-1	43762	0	f	2103	45865	0		0	100	42263	1499	f	1269	43532	4	1	6	0	4	0	13	45878	0	7	1960	47838	pracproc	praclist	F1	maa	4	33	1		0	19	47861	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	7				Thai_F1_mii21-1	0		0	0	50461	0	j	267	50728	1		0	100	48961	1500		0	0	6	1	7	0	4	0	16	50744	0	6	2298	53042	pracproc	praclist	F1	mii	1	21	1		0	15	53060	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	8				Thai_F1_mii315-2	0		0	0	55643	0	h	1014	56657	0		0	83	54143	1500	h	1471	55614	8	1	8	0	4	0	19	56676	0	7	3006	59682	pracproc	praclist	F1	mii	2	315	1		0	24	59708	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	9				Thai_F1_mii33-2	0		0	0	62291	0	f	335	62626	1		0	83	60791	1500		0	0	9	1	9	0	4	0	15	62641	0	6	2895	65536	pracproc	praclist	F1	mii	2	33	1		0	18	65557	0		0	0																																																																							
Assim_main_chinese_500ms	111	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742373</Frequency><Timestamp dt:dt="r8">23588584154</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-22T01:32:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-111-1	60.016	1.0.0.76	1	2113923652	Professional	2.0.10.353	2.0.10.353	02-22-2018	22-Feb-18 1:32:40 AM	12:32:40	2.0.10.248	10				Thai_F1_mii241-1	0		0	-1	68139	0	j	308	68447	1		0	83	66640	1499		0	0	7	1	10	0	4	0	9	68456	0	6	2565	71021	pracproc	praclist	F1	mii	1	241	1		0	17	71038	0		0	0																																																																							
